zeta值,区域,区域描述,方案编号,路径编号,流量分配,时间成本,金钱成本
31,1,只满足路径约束 (S_0^{zeta}),1,1,4873.88,33.34,20.00
31,1,只满足路径约束 (S_0^{zeta}),1,2,4539.79,37.97,15.00
31,1,只满足路径约束 (S_0^{zeta}),1,3,0.00,43.72,1.00
31,1,只满足路径约束 (S_0^{zeta}),1,4,0.00,43.72,1.00
31,1,只满足路径约束 (S_0^{zeta}),1,5,586.33,32.61,2.00
31,1,只满足路径约束 (S_0^{zeta}),1,6,0.00,63.91,0.00
31,1,只满足路径约束 (S_0^{zeta}),2,1,3416.82,25.17,20.00
31,1,只满足路径约束 (S_0^{zeta}),2,2,4652.72,38.99,15.00
31,1,只满足路径约束 (S_0^{zeta}),2,3,0.00,46.42,1.00
31,1,只满足路径约束 (S_0^{zeta}),2,4,0.00,46.42,1.00
31,1,只满足路径约束 (S_0^{zeta}),2,5,1930.47,38.67,2.00
31,1,只满足路径约束 (S_0^{zeta}),2,6,0.00,63.91,0.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),1,1,4668.28,31.65,20.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),1,2,3666.59,32.24,15.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),1,3,0.00,45.21,1.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),1,4,0.00,45.21,1.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),1,5,1665.12,35.95,2.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),1,6,0.00,63.91,0.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),2,1,4309.03,29.17,20.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),2,2,3078.30,30.08,15.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),2,3,0.00,52.77,1.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),2,4,0.00,52.77,1.00
31,2,满足全部约束但违反T_{max} (BS_0^{zeta} \ T_{max}),2,5,2612.68,52.75,2.00
